编号,诗名称,作者,诗类型,链接
252,白雪歌送武判官归京,岑参,七言古诗,https://so.gushiwen.cn/shiwenv_444df93c9bdf.aspx
253,宣州谢脁楼饯别校书叔云,李白,七言古诗,https://so.gushiwen.cn/shiwenv_731e2a19594e.aspx
254,庐山谣寄卢侍御虚舟,李白,七言古诗,https://so.gushiwen.cn/shiwenv_2ce33c84c9cb.aspx
255,梦游天姥吟留别,李白,七言古诗,https://so.gushiwen.cn/shiwenv_05e2f6fc757c.aspx
256,金陵酒肆留别,李白,七言古诗,https://so.gushiwen.cn/shiwenv_15684c1da05b.aspx
257,韩碑,李商隐,七言古诗,https://so.gushiwen.cn/shiwenv_7c8b773e0ca1.aspx
258,听董大弹胡笳声兼寄语,李颀,七言古诗,https://so.gushiwen.cn/shiwenv_8f7866739c12.aspx
259,听安万善吹觱篥歌,李颀,七言古诗,https://so.gushiwen.cn/shiwenv_c91049d5d0e0.aspx
260,古意,李颀,七言古诗,https://so.gushiwen.cn/shiwenv_1a8a902fa95d.aspx
261,送陈章甫,李颀,七言古诗,https://so.gushiwen.cn/shiwenv_8d4ba7e81446.aspx
262,琴歌,李颀,七言古诗,https://so.gushiwen.cn/shiwenv_6bc4a8ba12e4.aspx
263,古柏行,杜甫,七言古诗,https://so.gushiwen.cn/shiwenv_48a71bd6453b.aspx
